Not,Dex,Pokémon ,ID,Copy,LV30 0% Combat Power,Copy,LV35 100% Combat Power,Trade String,Transfer String,,Link
!3*&!4*&!dynamax&!shadow&evolve&kanto,172,Pichu,,&cp,240,-,270,!3*&!4*&!dynamax&!shadow&evolve&kanto172&cp240-270,!3*&!4*&!dynamax&!shadow&evolve&kanto172&cp0-239,,https://assets.dittobase.com/go/pokemon/172-pichu.png
!3*&!4*&!dynamax&!shadow&evolve&kanto,25,Pikachu,,&cp,618,-,871,!3*&!4*&!dynamax&!shadow&evolve&kanto25&cp618-871,!3*&!4*&!dynamax&!shadow&evolve&kanto25&cp0-617,,https://assets.dittobase.com/go/pokemon/25-pikachu.png
!3*&!4*&!dynamax&!shadow&evolve&kanto,26,Raichu,,&cp,1580,-,2026,!3*&!4*&!dynamax&!shadow&evolve&kanto26&cp1580-2026,!3*&!4*&!dynamax&!shadow&evolve&kanto26&cp0-1579,,https://assets.dittobase.com/go/pokemon/26-raichu.png
!3*&!4*&!dynamax&!shadow&evolve&,173,Cleffa,,&cp,346,-,383,!3*&!4*&!dynamax&!shadow&evolve&173&cp346-383,!3*&!4*&!dynamax&!shadow&evolve&173&cp0-345,,https://assets.dittobase.com/go/pokemon/173-cleffa.png
!3*&!4*&!dynamax&!shadow&evolve&,35,Clefairy,,&cp,780,-,1073,!3*&!4*&!dynamax&!shadow&evolve&35&cp780-1073,!3*&!4*&!dynamax&!shadow&evolve&35&cp0-779,,https://assets.dittobase.com/go/pokemon/35-clefairy.png
!3*&!4*&!dynamax&!shadow&evolve&,36,Clefable,,&cp,1782,-,2263,!3*&!4*&!dynamax&!shadow&evolve&36&cp1782-2263,!3*&!4*&!dynamax&!shadow&evolve&36&cp0-1781,,https://assets.dittobase.com/go/pokemon/36-clefable.png
!3*&!4*&!dynamax&!shadow&evolve&,63,Abra,,&cp,911,-,1246,!3*&!4*&!dynamax&!shadow&evolve&63&cp911-1246,!3*&!4*&!dynamax&!shadow&evolve&63&cp0-910,,https://assets.dittobase.com/go/pokemon/63-abra.png
!3*&!4*&!dynamax&!shadow&evolve&,64,Kadabra,,&cp,1471,-,1912,!3*&!4*&!dynamax&!shadow&evolve&64&cp1471-1912,!3*&!4*&!dynamax&!shadow&evolve&64&cp0-1470,,https://assets.dittobase.com/go/pokemon/64-kadabra.png
!3*&!4*&!dynamax&!shadow&evolve&,65,Alakazam,,&cp,2265,-,2839,!3*&!4*&!dynamax&!shadow&evolve&65&cp2265-2839,!3*&!4*&!dynamax&!shadow&evolve&65&cp0-2264,,https://assets.dittobase.com/go/pokemon/65-alakazam.png
!3*&!4*&!dynamax&!shadow&evolve&,69,Bellsprout,,&cp,680,-,959,!3*&!4*&!dynamax&!shadow&evolve&69&cp680-959,!3*&!4*&!dynamax&!shadow&evolve&69&cp0-679,,https://assets.dittobase.com/go/pokemon/69-bellsprout.png
!3*&!4*&!dynamax&!shadow&evolve&,70,Weepinbell,,&cp,1127,-,1496,!3*&!4*&!dynamax&!shadow&evolve&70&cp1127-1496,!3*&!4*&!dynamax&!shadow&evolve&70&cp0-1126,,https://assets.dittobase.com/go/pokemon/70-weepinbell.png
!3*&!4*&!dynamax&!shadow&evolve&,71,Victreebel,,&cp,1774,-,2257,!3*&!4*&!dynamax&!shadow&evolve&71&cp1774-2257,!3*&!4*&!dynamax&!shadow&evolve&71&cp0-1773,,https://assets.dittobase.com/go/pokemon/71-victreebel.png
!3*&!4*&!dynamax&!shadow&evolve&kanto,79,Slowpoke,,&cp,831,-,1139,!3*&!4*&!dynamax&!shadow&evolve&kanto79&cp831-1139,!3*&!4*&!dynamax&!shadow&evolve&kanto79&cp0-830,,https://assets.dittobase.com/go/pokemon/79-slowpoke.png
!3*&!4*&!dynamax&!shadow&evolve&kanto,80,Slowbro,,&cp,1868,-,2363,!3*&!4*&!dynamax&!shadow&evolve&kanto80&cp1868-2363,!3*&!4*&!dynamax&!shadow&evolve&kanto80&cp0-1867,,https://assets.dittobase.com/go/pokemon/80-slowbro.png
!3*&!4*&!dynamax&!shadow&evolve&,92,Gastly,,&cp,823,-,1141,!3*&!4*&!dynamax&!shadow&evolve&92&cp823-1141,!3*&!4*&!dynamax&!shadow&evolve&92&cp0-822,,https://assets.dittobase.com/go/pokemon/92-gastly.png
!3*&!4*&!dynamax&!shadow&evolve&,93,Haunter,,&cp,1397,-,1823,!3*&!4*&!dynamax&!shadow&evolve&93&cp1397-1823,!3*&!4*&!dynamax&!shadow&evolve&93&cp0-1396,,https://assets.dittobase.com/go/pokemon/93-haunter.png
!3*&!4*&!dynamax&!shadow&evolve&,94,Gengar,,&cp,2123,-,2672,!3*&!4*&!dynamax&!shadow&evolve&94&cp2123-2672,!3*&!4*&!dynamax&!shadow&evolve&94&cp0-2122,,https://assets.dittobase.com/go/pokemon/94-gengar.png
!3*&!4*&!dynamax&!shadow&evolve&,115,Kangaskhan,,&cp,1900,-,2401,!3*&!4*&!dynamax&!shadow&evolve&115&cp1900-2401,!3*&!4*&!dynamax&!shadow&evolve&115&cp0-1899,,https://assets.dittobase.com/go/pokemon/115-kangaskhan.png
!3*&!4*&!dynamax&!shadow&evolve&,120,Staryu,,&cp,783,-,1074,!3*&!4*&!dynamax&!shadow&evolve&120&cp783-1074,!3*&!4*&!dynamax&!shadow&evolve&120&cp0-782,,https://assets.dittobase.com/go/pokemon/120-staryu.png
!3*&!4*&!dynamax&!shadow&evolve&,121,Starmie,,&cp,1898,-,2400,!3*&!4*&!dynamax&!shadow&evolve&121&cp1898-2400,!3*&!4*&!dynamax&!shadow&evolve&121&cp0-1897,,https://assets.dittobase.com/go/pokemon/121-starmie.png
!3*&!4*&!dynamax&!shadow&evolve&,127,Pinsir,,&cp,2194,-,2747,!3*&!4*&!dynamax&!shadow&evolve&127&cp2194-2747,!3*&!4*&!dynamax&!shadow&evolve&127&cp0-2193,,https://assets.dittobase.com/go/pokemon/127-pinsir.png
!3*&!4*&!dynamax&!shadow&evolve&,129,Magikarp,,&cp,131,-,255,!3*&!4*&!dynamax&!shadow&evolve&129&cp131-255,!3*&!4*&!dynamax&!shadow&evolve&129&cp0-130,,https://assets.dittobase.com/go/pokemon/129-magikarp.png
!3*&!4*&!dynamax&!shadow&evolve&,130,Gyarados,,&cp,2543,-,3149,!3*&!4*&!dynamax&!shadow&evolve&130&cp2543-3149,!3*&!4*&!dynamax&!shadow&evolve&130&cp0-2542,,https://assets.dittobase.com/go/pokemon/130-gyarados.png
!3*&!4*&!dynamax&!shadow&evolve&,142,Aerodactyl,,&cp,2056,-,2585,!3*&!4*&!dynamax&!shadow&evolve&142&cp2056-2585,!3*&!4*&!dynamax&!shadow&evolve&142&cp0-2055,,https://assets.dittobase.com/go/pokemon/142-aerodactyl.png
!3*&!4*&!dynamax&!shadow&evolve&,147,Dratini,,&cp,668,-,933,!3*&!4*&!dynamax&!shadow&evolve&147&cp668-933,!3*&!4*&!dynamax&!shadow&evolve&147&cp0-667,,https://assets.dittobase.com/go/pokemon/147-dratini.png
!3*&!4*&!dynamax&!shadow&evolve&,148,Dragonair,,&cp,1266,-,1653,!3*&!4*&!dynamax&!shadow&evolve&148&cp1266-1653,!3*&!4*&!dynamax&!shadow&evolve&148&cp0-1265,,https://assets.dittobase.com/go/pokemon/148-dragonair.png
!3*&!4*&!dynamax&!shadow&evolve&,149,Dragonite,,&cp,2864,-,3521,!3*&!4*&!dynamax&!shadow&evolve&149&cp2864-3521,!3*&!4*&!dynamax&!shadow&evolve&149&cp0-2863,,https://assets.dittobase.com/go/pokemon/149-dragonite.png
!3*&!4*&!dynamax&!shadow&evolve&,150,Mewtwo,,&cp,2294,-,2984,!3*&!4*&!dynamax&!shadow&evolve&150&cp2294-2984,!3*&!4*&!dynamax&!shadow&evolve&150&cp0-2293,,https://assets.dittobase.com/go/pokemon/150-mewtwo.png
!3*&!4*&!dynamax&!shadow&evolve&,152,Chikorita,,&cp,615,-,868,!3*&!4*&!dynamax&!shadow&evolve&152&cp615-868,!3*&!4*&!dynamax&!shadow&evolve&152&cp0-614,,https://assets.dittobase.com/go/pokemon/152-chikorita.png
!3*&!4*&!dynamax&!shadow&evolve&,153,Bayleef,,&cp,1012,-,1350,!3*&!4*&!dynamax&!shadow&evolve&153&cp1012-1350,!3*&!4*&!dynamax&!shadow&evolve&153&cp0-1011,,https://assets.dittobase.com/go/pokemon/153-bayleef.png
!3*&!4*&!dynamax&!shadow&evolve&,154,Meganium,,&cp,1762,-,2238,!3*&!4*&!dynamax&!shadow&evolve&154&cp1762-2238,!3*&!4*&!dynamax&!shadow&evolve&154&cp0-1761,,https://assets.dittobase.com/go/pokemon/154-meganium.png
!3*&!4*&!dynamax&!shadow&evolve&,158,Totodile,,&cp,765,-,1051,!3*&!4*&!dynamax&!shadow&evolve&158&cp765-1051,!3*&!4*&!dynamax&!shadow&evolve&158&cp0-764,,https://assets.dittobase.com/go/pokemon/158-totodile.png
!3*&!4*&!dynamax&!shadow&evolve&,159,Croconaw,,&cp,1221,-,1599,!3*&!4*&!dynamax&!shadow&evolve&159&cp1221-1599,!3*&!4*&!dynamax&!shadow&evolve&159&cp0-1220,,https://assets.dittobase.com/go/pokemon/159-croconaw.png
!3*&!4*&!dynamax&!shadow&evolve&,160,Feraligatr,,&cp,2117,-,2653,!3*&!4*&!dynamax&!shadow&evolve&160&cp2117-2653,!3*&!4*&!dynamax&!shadow&evolve&160&cp0-2116,,https://assets.dittobase.com/go/pokemon/160-feraligatr.png
!3*&!4*&!dynamax&!shadow&evolve&,179,Mareep,,&cp,655,-,920,!3*&!4*&!dynamax&!shadow&evolve&179&cp655-920,!3*&!4*&!dynamax&!shadow&evolve&179&cp0-654,,https://assets.dittobase.com/go/pokemon/179-mareep.png
!3*&!4*&!dynamax&!shadow&evolve&,180,Flaaffy,,&cp,1062,-,1413,!3*&!4*&!dynamax&!shadow&evolve&180&cp1062-1413,!3*&!4*&!dynamax&!shadow&evolve&180&cp0-1061,,https://assets.dittobase.com/go/pokemon/180-flaaffy.png
!3*&!4*&!dynamax&!shadow&evolve&,181,Ampharos,,&cp,2112,-,2649,!3*&!4*&!dynamax&!shadow&evolve&181&cp2112-2649,!3*&!4*&!dynamax&!shadow&evolve&181&cp0-2111,,https://assets.dittobase.com/go/pokemon/181-ampharos.png
!3*&!4*&!dynamax&!shadow&evolve&,95,Onix,,&cp,730,-,1023,!3*&!4*&!dynamax&!shadow&evolve&95&cp730-1023,!3*&!4*&!dynamax&!shadow&evolve&95&cp0-729,,https://assets.dittobase.com/go/pokemon/95-onix.png
!3*&!4*&!dynamax&!shadow&evolve&,208,Steelix,,&cp,1758,-,2242,!3*&!4*&!dynamax&!shadow&evolve&208&cp1758-2242,!3*&!4*&!dynamax&!shadow&evolve&208&cp0-1757,,https://assets.dittobase.com/go/pokemon/208-steelix.png
!3*&!4*&!dynamax&!shadow&evolve&,123,Scyther,,&cp,1995,-,2513,!3*&!4*&!dynamax&!shadow&evolve&123&cp1995-2513,!3*&!4*&!dynamax&!shadow&evolve&123&cp0-1994,,https://assets.dittobase.com/go/pokemon/123-scyther.png
!3*&!4*&!dynamax&!shadow&evolve&,212,Scizor,,&cp,2229,-,2786,!3*&!4*&!dynamax&!shadow&evolve&212&cp2229-2786,!3*&!4*&!dynamax&!shadow&evolve&212&cp0-2228,,https://assets.dittobase.com/go/pokemon/212-scizor.png
!3*&!4*&!dynamax&!shadow&evolve&,214,Heracross,,&cp,2310,-,2879,!3*&!4*&!dynamax&!shadow&evolve&214&cp2310-2879,!3*&!4*&!dynamax&!shadow&evolve&214&cp0-2309,,https://assets.dittobase.com/go/pokemon/214-heracross.png
!3*&!4*&!dynamax&!shadow&evolve&,227,Skarmory,,&cp,1520,-,1958,!3*&!4*&!dynamax&!shadow&evolve&227&cp1520-1958,!3*&!4*&!dynamax&!shadow&evolve&227&cp0-1519,,https://assets.dittobase.com/go/pokemon/227-skarmory.png
!3*&!4*&!dynamax&!shadow&evolve&,228,Houndour,,&cp,838,-,1146,!3*&!4*&!dynamax&!shadow&evolve&228&cp838-1146,!3*&!4*&!dynamax&!shadow&evolve&228&cp0-837,,https://assets.dittobase.com/go/pokemon/228-houndour.png
!3*&!4*&!dynamax&!shadow&evolve&,229,Houndoom,,&cp,1936,-,2447,!3*&!4*&!dynamax&!shadow&evolve&229&cp1936-2447,!3*&!4*&!dynamax&!shadow&evolve&229&cp0-1935,,https://assets.dittobase.com/go/pokemon/229-houndoom.png
!3*&!4*&!dynamax&!shadow&evolve&,246,Larvitar,,&cp,694,-,966,!3*&!4*&!dynamax&!shadow&evolve&246&cp694-966,!3*&!4*&!dynamax&!shadow&evolve&246&cp0-693,,https://assets.dittobase.com/go/pokemon/246-larvitar.png
!3*&!4*&!dynamax&!shadow&evolve&,247,Pupitar,,&cp,1255,-,1640,!3*&!4*&!dynamax&!shadow&evolve&247&cp1255-1640,!3*&!4*&!dynamax&!shadow&evolve&247&cp0-1254,,https://assets.dittobase.com/go/pokemon/247-pupitar.png
!3*&!4*&!dynamax&!shadow&evolve&,248,Tyranitar,,&cp,2900,-,3561,!3*&!4*&!dynamax&!shadow&evolve&248&cp2900-3561,!3*&!4*&!dynamax&!shadow&evolve&248&cp0-2899,,https://assets.dittobase.com/go/pokemon/248-tyranitar.png
!3*&!4*&!dynamax&!shadow&evolve&,252,Treecko,,&cp,705,-,977,!3*&!4*&!dynamax&!shadow&evolve&252&cp705-977,!3*&!4*&!dynamax&!shadow&evolve&252&cp0-704,,https://assets.dittobase.com/go/pokemon/252-treecko.png
!3*&!4*&!dynamax&!shadow&evolve&,253,Grovyle,,&cp,1180,-,1553,!3*&!4*&!dynamax&!shadow&evolve&253&cp1180-1553,!3*&!4*&!dynamax&!shadow&evolve&253&cp0-1179,,https://assets.dittobase.com/go/pokemon/253-grovyle.png
!3*&!4*&!dynamax&!shadow&evolve&,254,Sceptile,,&cp,2035,-,2560,!3*&!4*&!dynamax&!shadow&evolve&254&cp2035-2560,!3*&!4*&!dynamax&!shadow&evolve&254&cp0-2034,,https://assets.dittobase.com/go/pokemon/254-sceptile.png
!3*&!4*&!dynamax&!shadow&evolve&,255,Torchic,,&cp,734,-,1015,!3*&!4*&!dynamax&!shadow&evolve&255&cp734-1015,!3*&!4*&!dynamax&!shadow&evolve&255&cp0-733,,https://assets.dittobase.com/go/pokemon/255-torchic.png
!3*&!4*&!dynamax&!shadow&evolve&,256,Combusken,,&cp,1165,-,1534,!3*&!4*&!dynamax&!shadow&evolve&256&cp1165-1534,!3*&!4*&!dynamax&!shadow&evolve&256&cp0-1164,,https://assets.dittobase.com/go/pokemon/256-combusken.png
!3*&!4*&!dynamax&!shadow&evolve&,257,Blaziken,,&cp,2103,-,2644,!3*&!4*&!dynamax&!shadow&evolve&257&cp2103-2644,!3*&!4*&!dynamax&!shadow&evolve&257&cp0-2102,,https://assets.dittobase.com/go/pokemon/257-blaziken.png
!3*&!4*&!dynamax&!shadow&evolve&,258,Mudkip,,&cp,761,-,1047,!3*&!4*&!dynamax&!shadow&evolve&258&cp761-1047,!3*&!4*&!dynamax&!shadow&evolve&258&cp0-760,,https://assets.dittobase.com/go/pokemon/258-mudkip.png
!3*&!4*&!dynamax&!shadow&evolve&,259,Marshtomp,,&cp,1263,-,1649,!3*&!4*&!dynamax&!shadow&evolve&259&cp1263-1649,!3*&!4*&!dynamax&!shadow&evolve&259&cp0-1262,,https://assets.dittobase.com/go/pokemon/259-marshtomp.png
!3*&!4*&!dynamax&!shadow&evolve&,260,Swampert,,&cp,2209,-,2761,!3*&!4*&!dynamax&!shadow&evolve&260&cp2209-2761,!3*&!4*&!dynamax&!shadow&evolve&260&cp0-2208,,https://assets.dittobase.com/go/pokemon/260-swampert.png
!3*&!4*&!dynamax&!shadow&evolve&,280,Ralts,,&cp,323,-,500,!3*&!4*&!dynamax&!shadow&evolve&280&cp323-500,!3*&!4*&!dynamax&!shadow&evolve&280&cp0-322,,https://assets.dittobase.com/go/pokemon/280-ralts.png
!3*&!4*&!dynamax&!shadow&evolve&,281,Kirlia,,&cp,640,-,897,!3*&!4*&!dynamax&!shadow&evolve&281&cp640-897,!3*&!4*&!dynamax&!shadow&evolve&281&cp0-639,,https://assets.dittobase.com/go/pokemon/281-kirlia.png
!3*&!4*&!dynamax&!shadow&evolve&,282,Gardevoir,,&cp,2303,-,2872,!3*&!4*&!dynamax&!shadow&evolve&282&cp2303-2872,!3*&!4*&!dynamax&!shadow&evolve&282&cp0-2302,,https://assets.dittobase.com/go/pokemon/282-gardevoir.png
!3*&!4*&!dynamax&!shadow&evolve&,475,Gallade,,&cp,2303,-,2872,!3*&!4*&!dynamax&!shadow&evolve&475&cp2303-2872,!3*&!4*&!dynamax&!shadow&evolve&475&cp0-2302,,https://assets.dittobase.com/go/pokemon/475-gallade.png
!3*&!4*&!dynamax&!shadow&evolve&,302,Sableye,,&cp,1030,-,1370,!3*&!4*&!dynamax&!shadow&evolve&302&cp1030-1370,!3*&!4*&!dynamax&!shadow&evolve&302&cp0-1029,,https://assets.dittobase.com/go/pokemon/302-sableye.png
!3*&!4*&!dynamax&!shadow&evolve&,303,Mawile,,&cp,1153,-,1518,!3*&!4*&!dynamax&!shadow&evolve&303&cp1153-1518,!3*&!4*&!dynamax&!shadow&evolve&303&cp0-1152,,https://assets.dittobase.com/go/pokemon/303-mawile.png
!3*&!4*&!dynamax&!shadow&evolve&,304,Aron,,&cp,900,-,1214,!3*&!4*&!dynamax&!shadow&evolve&304&cp900-1214,!3*&!4*&!dynamax&!shadow&evolve&304&cp0-899,,https://assets.dittobase.com/go/pokemon/304-aron.png
!3*&!4*&!dynamax&!shadow&evolve&,305,Lairon,,&cp,1481,-,1909,!3*&!4*&!dynamax&!shadow&evolve&305&cp1481-1909,!3*&!4*&!dynamax&!shadow&evolve&305&cp0-1480,,https://assets.dittobase.com/go/pokemon/305-lairon.png
!3*&!4*&!dynamax&!shadow&evolve&,306,Aggron,,&cp,2228,-,2786,!3*&!4*&!dynamax&!shadow&evolve&306&cp2228-2786,!3*&!4*&!dynamax&!shadow&evolve&306&cp0-2227,,https://assets.dittobase.com/go/pokemon/306-aggron.png
!3*&!4*&!dynamax&!shadow&evolve&,307,Meditite,,&cp,436,-,644,!3*&!4*&!dynamax&!shadow&evolve&307&cp436-644,!3*&!4*&!dynamax&!shadow&evolve&307&cp0-435,,https://assets.dittobase.com/go/pokemon/307-meditite.png
!3*&!4*&!dynamax&!shadow&evolve&,308,Medicham,,&cp,994,-,1329,!3*&!4*&!dynamax&!shadow&evolve&308&cp994-1329,!3*&!4*&!dynamax&!shadow&evolve&308&cp0-993,,https://assets.dittobase.com/go/pokemon/308-medicham.png
!3*&!4*&!dynamax&!shadow&evolve&,309,Electrike,,&cp,637,-,896,!3*&!4*&!dynamax&!shadow&evolve&309&cp637-896,!3*&!4*&!dynamax&!shadow&evolve&309&cp0-636,,https://assets.dittobase.com/go/pokemon/309-electrike.png
!3*&!4*&!dynamax&!shadow&evolve&,310,Manectric,,&cp,1701,-,2173,!3*&!4*&!dynamax&!shadow&evolve&310&cp1701-2173,!3*&!4*&!dynamax&!shadow&evolve&310&cp0-1700,,https://assets.dittobase.com/go/pokemon/310-manectric.png
!3*&!4*&!dynamax&!shadow&evolve&,318,Carvanha,,&cp,646,-,947,!3*&!4*&!dynamax&!shadow&evolve&318&cp646-947,!3*&!4*&!dynamax&!shadow&evolve&318&cp0-645,,https://assets.dittobase.com/go/pokemon/318-carvanha.png
!3*&!4*&!dynamax&!shadow&evolve&,319,Sharpedo,,&cp,1554,-,2025,!3*&!4*&!dynamax&!shadow&evolve&319&cp1554-2025,!3*&!4*&!dynamax&!shadow&evolve&319&cp0-1553,,https://assets.dittobase.com/go/pokemon/319-sharpedo.png
!3*&!4*&!dynamax&!shadow&evolve&,322,Numel,,&cp,705,-,982,!3*&!4*&!dynamax&!shadow&evolve&322&cp705-982,!3*&!4*&!dynamax&!shadow&evolve&322&cp0-704,,https://assets.dittobase.com/go/pokemon/322-numel.png
!3*&!4*&!dynamax&!shadow&evolve&,323,Camerupt,,&cp,1588,-,2036,!3*&!4*&!dynamax&!shadow&evolve&323&cp1588-2036,!3*&!4*&!dynamax&!shadow&evolve&323&cp0-1587,,https://assets.dittobase.com/go/pokemon/323-camerupt.png
!3*&!4*&!dynamax&!shadow&evolve&,333,Swablu,,&cp,528,-,765,!3*&!4*&!dynamax&!shadow&evolve&333&cp528-765,!3*&!4*&!dynamax&!shadow&evolve&333&cp0-527,,https://assets.dittobase.com/go/pokemon/333-swablu.png
!3*&!4*&!dynamax&!shadow&evolve&,334,Altaria,,&cp,1439,-,1861,!3*&!4*&!dynamax&!shadow&evolve&334&cp1439-1861,!3*&!4*&!dynamax&!shadow&evolve&334&cp0-1438,,https://assets.dittobase.com/go/pokemon/334-altaria.png
!3*&!4*&!dynamax&!shadow&evolve&,353,Shuppet,,&cp,671,-,945,!3*&!4*&!dynamax&!shadow&evolve&353&cp671-945,!3*&!4*&!dynamax&!shadow&evolve&353&cp0-670,,https://assets.dittobase.com/go/pokemon/353-shuppet.png
!3*&!4*&!dynamax&!shadow&evolve&,354,Banette,,&cp,1667,-,2134,!3*&!4*&!dynamax&!shadow&evolve&354&cp1667-2134,!3*&!4*&!dynamax&!shadow&evolve&354&cp0-1666,,https://assets.dittobase.com/go/pokemon/354-banette.png
!3*&!4*&!dynamax&!shadow&evolve&,433,Chingling,,&cp,530,-,574,!3*&!4*&!dynamax&!shadow&evolve&433&cp530-574,!3*&!4*&!dynamax&!shadow&evolve&433&cp0-529,,https://assets.dittobase.com/go/pokemon/433-chingling.png
!3*&!4*&!dynamax&!shadow&evolve&,358,Chimecho,,&cp,1643,-,2098,!3*&!4*&!dynamax&!shadow&evolve&358&cp1643-2098,!3*&!4*&!dynamax&!shadow&evolve&358&cp0-1642,,https://assets.dittobase.com/go/pokemon/358-chimecho.png
!3*&!4*&!dynamax&!shadow&evolve&,359,Absol,,&cp,1841,-,2346,!3*&!4*&!dynamax&!shadow&evolve&359&cp1841-2346,!3*&!4*&!dynamax&!shadow&evolve&359&cp0-1840,,https://assets.dittobase.com/go/pokemon/359-absol.png
!3*&!4*&!dynamax&!shadow&evolve&,361,Snorunt,,&cp,580,-,824,!3*&!4*&!dynamax&!shadow&evolve&361&cp580-824,!3*&!4*&!dynamax&!shadow&evolve&361&cp0-579,,https://assets.dittobase.com/go/pokemon/361-snorunt.png
!3*&!4*&!dynamax&!shadow&evolve&,362,Glalie,,&cp,1521,-,1955,!3*&!4*&!dynamax&!shadow&evolve&362&cp1521-1955,!3*&!4*&!dynamax&!shadow&evolve&362&cp0-1520,,https://assets.dittobase.com/go/pokemon/362-glalie.png
!3*&!4*&!dynamax&!shadow&evolve&,478,Froslass,,&cp,1470,-,1894,!3*&!4*&!dynamax&!shadow&evolve&478&cp1470-1894,!3*&!4*&!dynamax&!shadow&evolve&478&cp0-1469,,https://assets.dittobase.com/go/pokemon/478-froslass.png
